Name,Average_Score,Average_Rating
Endo International plc,2.0,High Risk
Enel Americas S.A.,3.0,Medium Risk
"Energizer Holdings, Inc.",2.5,High Risk
Enersys,2.0,High Risk
"Entegris, Inc.",2.0,High Risk
Entercom Communications Corp.,1.0,Highest Risk
Entergy Corporation,3.75,Low Risk
Enterprise Products Partners L.P.,3.75,Low Risk
Entravision Communications Corporation,2.0,High Risk
"Equifax, Inc.",3.6,Low Risk
"Equinix, Inc.",3.0,Medium Risk
Equity Residential,3.0,Medium Risk
"Estee Lauder Companies, Inc. (The)",4.0,Low Risk
Eversource Energy,4.0,Low Risk
Exelon Corporation,3.142857142857143,Medium Risk
"Expedia Group, Inc.",3.0,Medium Risk
Exxon Mobil Corporation,4.0,Low Risk
FMC Corporation,3.25,Medium Risk
"FTI Consulting, Inc.",2.0,High Risk
FedEx Corporation,4.0,Low Risk
Ferro Corporation,2.0,High Risk
Fiat Chrysler Automobiles N.V.,2.0,High Risk
"Fidelity National Information Services, Inc.",2.8,Medium Risk
FirstEnergy Corp.,2.4,High Risk
"Fiserv, Inc.",3.0,Medium Risk
Flex Ltd.,2.5,High Risk
Flowserve Corporation,3.0,Medium Risk
Fluor Corporation,4.0,Low Risk
"Foot Locker, Inc.",2.0,High Risk
Fortis Inc.,3.0,Medium Risk
Fortive Corporation,3.0,Medium Risk
"Freeport-McMoran, Inc.",2.75,Medium Risk
GATX Corporation,2.2,High Risk
GCP Applied Technologies Inc.,2.0,High Risk
Gamestop Corporation,2.5,High Risk
"Gartner, Inc.",4.0,Low Risk
General Dynamics Corporation,4.0,Low Risk
General Electric Company,4.0,Low Risk
"General Mills, Inc.",3.0,Medium Risk
General Motors Company,2.6666666666666665,Medium Risk
"Genesis Energy, L.P.",2.0,High Risk
Genpact Limited,2.3333333333333335,High Risk
"Gibraltar Industries, Inc.",2.0,High Risk
Global Partners LP,2.0,High Risk
Global Payments Inc.,3.0,Medium Risk
Gogo Inc.,1.0,Highest Risk
Graham Holdings Company,3.0,Medium Risk
"Gray Television, Inc.",2.0,High Risk
Great Lakes Dredge & Dock Corporation,1.6,High Risk
"Green Plains, Inc.",2.0,High Risk
Griffon Corporation,2.0,High Risk
"Group 1 Automotive, Inc.",2.0,High Risk
Gulfport Energy Corporation,2.0,High Risk
"HC2 Holdings, Inc.",1.6666666666666667,High Risk
"HCA Healthcare, Inc.",2.0,High Risk
"HD Supply Holdings, Inc.",2.0,High Risk
HP Inc.,3.25,Medium Risk
Halliburton Company,4.0,Low Risk
Hanesbrands Inc.,2.0,High Risk
"Hanger, Inc.",2.0,High Risk
Harsco Corporation,2.1666666666666665,High Risk
Hecla Mining Company,2.0,High Risk
"Helix Energy Solutions Group, Inc.",2.3333333333333335,High Risk
Hershey Company (The),4.0,Low Risk
Hess Corporation,2.75,Medium Risk
Hewlett Packard Enterprise Company,3.0,Medium Risk
Hexcel Corporation,2.5,High Risk
Hill-Rom Holdings Inc,2.3333333333333335,High Risk
Hilton Worldwide Holdings Inc.,2.0,High Risk
"Holly Energy Partners, L.P.",2.0,High Risk
HollyFrontier Corporation,3.0,Medium Risk
Honeywell International Inc.,4.0,Low Risk
Horizon Global Corporation,2.0,High Risk
Hormel Foods Corporation,4.0,Low Risk
"Host Hotels & Resorts, Inc.",2.8333333333333335,Medium Risk
"Hub Group, Inc.",1.0,Highest Risk
Humana Inc.,3.0,Medium Risk
"Huntington Ingalls Industries, Inc.",2.6666666666666665,Medium Risk
Hyatt Hotels Corporation,3.0,Medium Risk
IAC/InterActiveCorp,2.0,High Risk
ICON plc,3.0,Medium Risk
IDEX Corporation,3.75,Low Risk
IHS Markit Ltd.,2.0,High Risk
IRSA Inversiones Y Representaciones S.A.,2.0,High Risk
IRSA Propiedades Comerciales S.A.,2.0,High Risk
ITT Inc.,3.0,Medium Risk
Illinois Tool Works Inc.,4.0,Low Risk
Imperial Oil Limited,4.0,Low Risk
Ingredion Incorporated,3.6,Low Risk
Intel Corporation,4.0,Low Risk
International Business Machines Corporation,4.0,Low Risk
International Game Technology,2.5,High Risk
International Paper Company,3.0,Medium Risk
Intuit Inc.,3.3333333333333335,Medium Risk
Ion Geophysical Corporation,1.4,Highest Risk
Iron Mountain Incorporated,2.0,High Risk
"J.B. Hunt Transport Services, Inc.",4.0,Low Risk
J.M. Smucker Company (The),3.5,Low Risk
Jabil Inc.,2.7142857142857144,Medium Risk
JetBlue Airways Corporation,2.3333333333333335,High Risk
Johnson & Johnson,4.5,Low Risk
Johnson Controls International plc,3.6,Low Risk
Kaiser Aluminum Corporation,2.0,High Risk
Kansas City Southern,3.0,Medium Risk
Kellogg Company,3.0,Medium Risk
Kennametal Inc.,3.3333333333333335,Medium Risk
Kennedy-Wilson Holdings Inc.,2.0,High Risk
Keysight Technologies Inc.,3.0,Medium Risk
Kimberly-Clark Corporation,4.0,Low Risk
"Kinder Morgan, Inc.",2.0,High Risk
Kinross Gold Corporation,2.3333333333333335,High Risk
Kirby Corporation,3.0,Medium Risk
Koppers Holdings Inc.,2.0,High Risk
Kosmos Energy Ltd.,2.0,High Risk
Kraton Corporation,2.0,High Risk
"Kratos Defense & Security Solutions, Inc.",1.75,High Risk
Kronos Worldwide Inc,2.0,High Risk
"L Brands, Inc.",2.6666666666666665,Medium Risk
LKQ Corporation,2.0,High Risk
Laboratory Corporation of America Holdings,3.0,Medium Risk
Lam Research Corporation,2.75,Medium Risk
Lamar Advertising Company,2.0,High Risk
"Laredo Petroleum, Inc.",2.0,High Risk
Las Vegas Sands Corp.,2.0,High Risk
Lattice Semiconductor Corporation,2.0,High Risk
Lear Corporation,2.6666666666666665,Medium Risk
Lennar Corporation,2.0,High Risk
"Lennox International, Inc.",3.5,Low Risk
"Live Nation Entertainment, Inc.",2.0,High Risk
Lockheed Martin Corporation,3.2,Medium Risk
Loews Corporation,4.0,Low Risk
Louisiana-Pacific Corporation,2.0,High Risk
Lsb Industries Inc.,2.0,High Risk
LyondellBasell Industries NV,2.8,Medium Risk
"MBIA, Inc.",1.6666666666666667,High Risk
MDC Partners Inc.,2.0,High Risk
MGIC Investment Corporation,1.0,Highest Risk
MGM Resorts International,2.0,High Risk
MPLX LP,3.0,Medium Risk
MSCI Inc,2.0,High Risk
MTS Systems Corporation,2.0,High Risk
Magellan Midstream Partners L.P.,3.2857142857142856,Medium Risk
"Magna International, Inc.",3.0,Medium Risk
MagnaChip Semiconductor Corporation,1.8,High Risk
ManTech International Corporation,2.0,High Risk
ManpowerGroup,3.3333333333333335,Medium Risk
Marathon Oil Corporation,3.0,Medium Risk
Marathon Petroleum Corporation,3.0,Medium Risk
Markel Corporation,3.0,Medium Risk
"Marsh & McLennan Companies, Inc.",4.0,Low Risk
"Martin Marietta Materials, Inc.",2.6666666666666665,Medium Risk
Martin Midstream Partners L.P.,2.0,High Risk
Masco Corporation,2.0,High Risk
Masonite International Corporation,2.0,High Risk
Mastercard Incorporated,4.0,Low Risk
Matador Resources Company,2.0,High Risk
McKesson Corporation,3.0,Medium Risk
Medtronic plc,4.0,Low Risk
Mercer International Inc.,2.0,High Risk
"Micron Technology, Inc.",2.0,High Risk
Microsoft Corporation,5.0,Lowest Risk
Minerals Technologies Inc.,2.0,High Risk
"Mohawk Industries, Inc.",3.0,Medium Risk
Mosaic Company (The),3.0,Medium Risk
Murphy Oil Corporation,3.1666666666666665,Medium Risk
Mylan N.V.,3.0,Medium Risk
NCR Corporation,2.0,High Risk
NGL ENERGY PARTNERS LP,2.0,High Risk
"NRG Energy, Inc.",2.0,High Risk
NVIDIA Corporation,2.25,High Risk
"NVR, Inc.",3.0,Medium Risk
NXP Semiconductors N.V.,2.0,High Risk
Nabors Industries Ltd.,2.857142857142857,Medium Risk
National Fuel Gas Company,3.4,Medium Risk
Natural Resource Partners LP,1.6666666666666667,High Risk
Navios Maritime Holdings Inc.,2.0,High Risk
Navistar International Corporation,1.6,High Risk
Nektar Therapeutics,1.75,High Risk
"Netflix, Inc.",2.0,High Risk
New Gold Inc.,2.0,High Risk
New York Times Company (The),2.0,High Risk
NewMarket Corporation,3.0,Medium Risk
Newell Brands Inc.,3.2,Medium Risk
"NiSource, Inc",3.0,Medium Risk
Noble Corporation,2.6,Medium Risk
Noble Energy Inc.,3.0,Medium Risk
Nokia Corporation,2.5,High Risk
Norbord Inc.,2.0,High Risk
"Nordstrom, Inc.",4.0,Low Risk
Norfolk Southern Corporation,3.5,Low Risk
NorthWestern Corporation,3.6666666666666665,Low Risk
"Northern Oil and Gas, Inc.",1.0,Highest Risk
Northrop Grumman Corporation,3.6,Low Risk
"Nuance Communications, Inc.",2.0,High Risk
Nucor Corporation,3.4,Medium Risk
Nustar Energy L.P.,2.0,High Risk
OGE Energy Corp,3.6,Low Risk
ON Semiconductor Corporation,2.0,High Risk
Oasis Petroleum Inc.,1.5,High Risk
Occidental Petroleum Corporation,4.0,Low Risk
"Oceaneering International, Inc.",3.0,Medium Risk
Olin Corporation,2.4,High Risk
Omnicom Group Inc.,4.0,Low Risk
Open Text Corporation,2.8333333333333335,Medium Risk
Oracle Corporation,4.0,Low Risk
Orange,3.0,Medium Risk
Orion Engineered Carbons S.A,2.0,High Risk
Oshkosh Corporation,2.0,High Risk
